period_id,TimeStep,WIND-OFF
0,0,0.05036113364621991
0,1,0.04395096655935045
0,2,0.0342173431999981
0,3,0.02930237166583534
0,4,0.02989924699068065
0,5,0.027069695061072662
0,6,0.03792857145890587
0,7,0.052928584627807106
0,8,0.05556656047701833
0,9,0.060512624215334626
0,10,0.0788517110049724
0,11,0.10062800161540503
0,12,0.11841374263167377
0,13,0.1345532592386007
0,14,0.15922546014189717
0,15,0.18329448252916333
0,16,0.19522455334663388
0,17,0.19846368022263047
0,18,0.19462645240128038
0,19,0.1560533363372087
0,20,0.12879991158843035
0,21,0.09573870524764055
0,22,0.07504691649228329
0,23,0.06093400111421938
0,24,0.04881219333037731
0,25,0.03986603766679758
0,26,0.03575892420485611
0,27,0.03715778281912203
0,28,0.03816044097766274
0,29,0.03287473367527124
0,30,0.03745616646483536
0,31,0.05419055232778187
0,32,0.06408710125833744
0,33,0.07117892894893879
0,34,0.07823112979531283
0,35,0.09062392544001338
0,36,0.10809031128883358
0,37,0.1297896075993776
0,38,0.15795055031776425
0,39,0.19150632247328755
0,40,0.19894549436867232
0,41,0.17418056353926656
0,42,0.1449220068752765
0,43,0.13937046565115452
0,44,0.13310157693922517
0,45,0.11492945346981281
0,46,0.08717000950127836
0,47,0.06925730407238001
0,48,0.0619391547515988
0,49,0.060809743590652894
0,50,0.05661295959725972
0,51,0.05224487325176594
0,52,0.0496681495569646
0,53,0.04755535209551447
0,54,0.060384454205632175
0,55,0.07807454746216533
0,56,0.0818091686815023
0,57,0.08514124341309068
0,58,0.09783872310072181
0,59,0.11181824933737515
0,60,0.1317659858614206
0,61,0.14785603247582907
0,62,0.17060798034071917
0,63,0.1702011693269014
0,64,0.16702030971646303
0,65,0.17359660565853116
0,66,0.1865034885704517
0,67,0.16896743327379224
0,68,0.13352939859032628
0,69,0.10424319375306362
0,70,0.0894009983167052
0,71,0.07991436310112472
0,72,0.07235024683177464
0,73,0.07129567302763459
0,74,0.07292220275849101
0,75,0.07635998725891108
0,76,0.08128078561276192
0,77,0.0778607418760657
0,78,0.08762087952345606
0,79,0.11976740602403874
0,80,0.14148762449622151
0,81,0.1582637000828981
0,82,0.20350079238414762
0,83,0.24515670537948608
0,84,0.28057619556784624
0,85,0.3200488723814487
