period_id,TimeStep,WIND-ON
0,0,0.6740252216468563
0,1,0.7309276550088518
0,2,0.7646357517035572
0,3,0.7571557211982298
0,4,0.7215831154095059
0,5,0.6717186394955571
0,6,0.6670909614518389
0,7,0.6758756789360745
0,8,0.686620608288805
0,9,0.6965681237961587
0,10,0.6824519608356263
0,11,0.6238348347586832
0,12,0.6229746869809522
0,13,0.6704035887518144
0,14,0.7201236052578756
0,15,0.7108293422114423
0,16,0.6777677849998602
0,17,0.6841735900459446
0,18,0.7146713112800601
0,19,0.7408183448983829
0,20,0.7717892081325248
0,21,0.8132789722982774
0,22,0.8109488611970525
0,23,0.8293137430562517
0,24,0.8864859844814706
0,25,0.9149875894741683
0,26,0.933770397042102
0,27,0.9273601439963011
0,28,0.9296858592519096
0,29,0.9236826615101751
0,30,0.9078858252094134
0,31,0.9019768699273402
0,32,0.8947185763057174
0,33,0.8823216807198078
0,34,0.868821025552582
0,35,0.8146666140993747
0,36,0.8277378100510624
0,37,0.8601497059840747
0,38,0.8310881075127936
0,39,0.8087653031183222
0,40,0.8016937658801186
0,41,0.8199870550604592
0,42,0.8335619255127418
0,43,0.8216166099315811
0,44,0.8003436675808187
0,45,0.8676090313114909
0,46,0.8321628321612848
0,47,0.8496521286289959
0,48,0.8875761392931335
0,49,0.8462977482462515
0,50,0.8483417643037154
0,51,0.8259732058619056
0,52,0.7474951128484884
0,53,0.6124309532469027
0,54,0.521307688777286
0,55,0.5102600570250679
0,56,0.5188652898976155
0,57,0.48762948383277116
0,58,0.34886197331119567
0,59,0.18912514112304393
0,60,0.1398640341355033
0,61,0.12679049311193802
0,62,0.09180743727562762
0,63,0.09365008635093756
0,64,0.1185568963899329
0,65,0.15725462338001814
0,66,0.16813459460019758
0,67,0.19325409558042492
0,68,0.25106435488126977
0,69,0.2993758753966065
0,70,0.2831773705653049
0,71,0.2895194470258319
0,72,0.3688853928202413
0,73,0.4063080088630361
0,74,0.4768413559836286
0,75,0.4078233052757712
0,76,0.2948590471682762
0,77,0.2022932356682272
0,78,0.31383460884119047
0,79,0.4344112943635062
0,80,0.5028071541026029
0,81,0.4787038869471199
0,82,0.3739443442971372
0,83,0.23965025675372428
0,84,0.27146471815191037
0,85,0.2745854183619283
0,86,0.19995828541153135
0,87,0.10907396681614849
0,88,0.048688345015958145
0,89,0.037454063516829866
0,90,0.032722105677406035
0,91,0.05122125361180894
0,92,0.04672397991154685
0,93,0.12582445202101625
0,94,0.2505430932729171
0,95,0.39899228612614185
0,96,0.45041347625923384
0,97,0.504820749418285
