period_id,TimeStep,PV-FIX,WIND-ON
0,0,0.0,0.24193464140479828
0,1,0.0,0.287636766383848
0,2,0.0,0.3201017282951286
0,3,0.0,0.3341499923133276
0,4,0.0,0.279904792828093
0,5,0.0,0.2252244979932394
0,6,0.0,0.17306061908735448
0,7,0.0,0.14482529380971704
0,8,0.0,0.1472418803038243
0,9,0.0,0.16061944993473984
0,10,0.0,0.2164284592157822
0,11,0.04359153298316545,0.19549306010243822
0,12,0.20486451935898026,0.10452474198914072
0,13,0.4092569648753999,0.03715599817236351
0,14,0.5882791184313203,0.026604026805919646
0,15,0.6790602888851849,0.017618339330652082
0,16,0.7256537111854778,0.011226242508221414
0,17,0.7093629870973858,0.012383677017470673
0,18,0.6479454537307718,0.010664748418488197
0,19,0.5088683020838012,0.012097210860116803
0,20,0.32048488230373273,0.025154156797931117
0,21,0.12984097610576195,0.0460567664854128
0,22,0.009423251497856942,0.13123244486218505
0,23,0.0,0.265917482554446
0,24,0.0,0.33768132141343093
0,25,0.0,0.3583611919067064
0,26,0.0,0.333233277580778
0,27,0.0,0.28499150987695365
0,28,0.0,0.2575624223631753
0,29,0.0,0.23230376959737511
0,30,0.0,0.192023133135398
0,31,0.0,0.16267595742539365
0,32,0.0,0.14887378825810457
0,33,0.0,0.13685505391424785
0,34,0.0,0.14944952994357824
0,35,0.04178187794358388,0.1237686631766557
0,36,0.19205523331229907,0.07658535787011643
0,37,0.39433119567635544,0.04346155135554364
0,38,0.5610041284597812,0.04905174909788663
0,39,0.6718163902993428,0.051715224605334766
0,40,0.7006662727406293,0.035239475271982325
0,41,0.6678269969388018,0.023104200724005243
0,42,0.613990526530932,0.021198465563528494
0,43,0.5023212920574903,0.03137436224210986
0,44,0.32436015148971875,0.04776681494296973
0,45,0.1396157674331905,0.0836807084695175
0,46,0.00812474894686078,0.1561694513449221
0,47,0.0,0.26690080262329524
0,48,0.0,0.352240157707758
0,49,0.0,0.3635827993917729
0,50,0.0,0.35454466332986
0,51,0.0,0.3187227534552149
0,52,0.0,0.31009052955955163
0,53,0.0,0.2650802721171173
0,54,0.0,0.19318679479249348
0,55,0.0,0.1573262286805265
0,56,0.0,0.15987413069458312
0,57,0.0,0.14830762935307726
0,58,0.0,0.16206083882982492
0,59,0.03350727615235862,0.1759089576596441
0,60,0.1619434880408535,0.1187656261256914
0,61,0.35914403168781284,0.08218940079305752
0,62,0.5200678955924999,0.09795392263690376
0,63,0.6204645927905292,0.0855749101563273
0,64,0.6832675056025612,0.024150879715054547
0,65,0.6989816844829989,0.022140114625776194
0,66,0.6439171123250208,0.019157007196944936
0,67,0.5360033110139568,0.01172222192268231
0,68,0.3365081194704732,0.018753376088714028
0,69,0.13267886660405104,0.04321630959425569
0,70,0.006799200831506273,0.15049097796110575
0,71,0.0,0.3114361827662424
0,72,0.0,0.4088990339030458
0,73,0.0,0.42878312180626565
0,74,0.0,0.42088320981999205
0,75,0.0,0.40439964890854474
0,76,0.0,0.4130473266293892
0,77,0.0,0.41112654403815224
0,78,0.0,0.3840001743099564
0,79,0.0,0.36256461068160517
0,80,0.0,0.3490482085886004
0,81,0.0,0.35018655187326997
0,82,0.0,0.38072407174340206
0,83,0.03874012848368812,0.36724365723102165
0,84,0.18415197810732808,0.22846371620214725
0,85,0.3755446170788868,0.15529799540438705
0,86,0.5487288816693873,0.10344524123000641
0,87,0.6378836934907326,0.10767551387091837
0,88,0.7291340760744265,0.11602965832009397
0,89,0.6937508341694314,0.12598787609233414
0,90,0.6451338594601373,0.12437261337621237
0,91,0.49505541270012643,0.11933969549812279
0,92,0.3141918729683449,0.12089145705399701
0,93,0.12223879418554694,0.1557460628639231
0,94,0.010312896381765892,0.2937502660302317
0,95,0.0,0.39830455080154215
0,96,0.0,0.44282106611546834
0,97,0.0,0.449326855587111
0,98,0.0,0.45922221023834453
0,99,0.0,0.4757389952483537
0,100,0.0,0.4973587178632121
0,101,0.0,0.5092283013906316
0,102,0.0,0.4645519023836102
0,103,0.0,0.38673043227393933
0,104,0.0,0.2195792622544655
0,105,0.0,0.3005536743921219
0,106,0.0,0.4172770445419165
0,107,0.026429094300514096,0.4679300587171567
0,108,0.1419482477627379,0.4145765996726555
0,109,0.2776173600983125,0.371937496537361
0,110,0.4165005765597703,0.33520830299002885
0,111,0.5224866217878685,0.3089599321525457
0,112,0.5271110333918683,0.37467209479375985
0,113,0.4847382517646332,0.43070535928952963
0,114,0.3964317789010464,0.39730364740074603
0,115,0.30755888860610564,0.37510422210945765
0,116,0.18261400598162106,0.46150071203609716
0,117,0.06928184595158121,0.48954206254731314
0,118,0.001987546037763159,0.5214235368954564
0,119,0.0,0.6030198476422717
0,120,0.0,0.6332558038869764
0,121,0.0,0.6182383596164817
0,122,0.0,0.6062088734308942
0,123,0.0,0.6144815303800746
0,124,0.0,0.6691782151019254
0,125,0.0,0.7162557684522419
0,126,0.0,0.7324954520716697
0,127,0.0,0.7511879644396663
0,128,0.0,0.7652570358522186
0,129,0.0,0.7443560895032357
0,130,0.0,0.8155453381276064
0,131,0.030544251175001803,0.737458801320807
0,132,0.13480899210797528,0.6478176962673493
0,133,0.2646448125529527,0.5974935229110712
0,134,0.41986150972772757,0.5403342668117329
0,135,0.5142212324296651,0.49391206239536434
0,136,0.5730924778754968,0.483972432426615
0,137,0.5667287146747544,0.4997583550006692
0,138,0.4716194647662972,0.48564284896157767
0,139,0.2994080555128844,0.48002529681075956
0,140,0.19440841725345748,0.4875144090605475
0,141,0.0963080027585731,0.5045745271556066
