period_id,TimeStep,WIND-ON
0,0,0.4149045692561634
0,1,0.40429374143071745
0,2,0.4023700780739918
0,3,0.3823617388808018
0,4,0.36440101942332587
0,5,0.344362660775276
0,6,0.3157716014853163
0,7,0.27295102256851245
0,8,0.2638224729141881
0,9,0.27635888847497236
0,10,0.2600719824652084
0,11,0.25843360398031007
0,12,0.22565104158481214
0,13,0.18881008390486084
0,14,0.1497997065211966
0,15,0.13351720061164507
0,16,0.1337191432853997
0,17,0.13191921917644728
0,18,0.09638375015501922
0,19,0.08079097006526646
0,20,0.12170915277637122
0,21,0.12618794070252698
0,22,0.11778445071578837
0,23,0.0893497865697357
0,24,0.09035693693867525
0,25,0.08373571318412952
0,26,0.08763255326521056
0,27,0.08734804431816673
0,28,0.08476609020687541
0,29,0.10840202464565224
0,30,0.13480977422034315
0,31,0.11297212476271826
0,32,0.07976368822670483
0,33,0.05831607934070312
0,34,0.042661878258471446
0,35,0.08895617663767172
0,36,0.1636653866085604
0,37,0.19271444587955608
0,38,0.2206132312510454
0,39,0.22503447408334917
0,40,0.2281182290764847
0,41,0.21381827804391842
0,42,0.2578467068207729
0,43,0.26263766450778964
0,44,0.2659231322710403
0,45,0.27821464510853583
0,46,0.19871686589399684
0,47,0.27873230295529655
0,48,0.32877184763888373
0,49,0.3131290847949038
0,50,0.25086958691036704
0,51,0.19021201075396127
0,52,0.13647621372169047
0,53,0.15073557186071518
0,54,0.15167762756860229
0,55,0.1438846498897832
0,56,0.16248763070917874
0,57,0.18741728295300789
0,58,0.09407854042109355
0,59,0.17051488658290703
0,60,0.21825831975622983
0,61,0.2568817075811541
0,62,0.3202763333985735
0,63,0.3412166380843594
0,64,0.3428389701467125
0,65,0.3009404580935797
0,66,0.25301380874943824
0,67,0.19066721357404945
0,68,0.1444704528782951
0,69,0.10956260056982138
0,70,0.06837839593165088
0,71,0.06946908966434773
0,72,0.15671733886487002
0,73,0.1736180663048468
0,74,0.16102497523943976
0,75,0.13759684069538244
0,76,0.14474413400253752
0,77,0.15520812790812308
0,78,0.16484055609199713
0,79,0.17638471180197718
0,80,0.1994597164844298
0,81,0.2438599079613791
0,82,0.2747040207901487
0,83,0.29252096958088736
0,84,0.27405377666296715
0,85,0.2821419953184483
0,86,0.31194105348007695
0,87,0.33647943101677336
0,88,0.35324274845737363
0,89,0.3522849613800768
0,90,0.33876768748602004
0,91,0.3516167166494138
0,92,0.36564745477754695
0,93,0.37489793851032666
0,94,0.38631267550114173
0,95,0.40935482312177596
0,96,0.43523574850644803
0,97,0.4383367441438121
0,98,0.44268183352425367
0,99,0.47114191585926934
0,100,0.4910016095770687
0,101,0.5014021692367762
