period_id,TimeStep,PV-FIX,WIND-ON
0,0,0.0,0.07038400674520164
0,1,0.0,0.08181625054948895
0,2,0.0,0.15566227375810304
0,3,0.0,0.5389425107771514
0,4,0.0,0.7486736286004031
0,5,0.0,0.8364786210685653
0,6,0.0,0.8947219266343793
0,7,0.0,0.9261294615610443
0,8,0.0,0.925318639072657
0,9,0.0,0.9073238932644329
0,10,0.0,0.8041586823578131
0,11,0.03668893427364913,0.7333029247032772
0,12,0.2310250699365726,0.6216033451700207
0,13,0.44197586408083356,0.5358564927695085
0,14,0.6525679767340032,0.4769817475182772
0,15,0.7507825381310249,0.38634943382176334
0,16,0.8023139986110196,0.32386766098634906
0,17,0.830751124453022,0.35788745844693
0,18,0.7613876382621138,0.3874269624698784
0,19,0.6709915030984893,0.44926350706787993
0,20,0.4879441666142515,0.48335109244753865
0,21,0.2708015312971346,0.3757437276553392
0,22,0.10535540170756695,0.2628508795804785
0,23,0.006864747080923903,0.3103531912310558
0,24,0.0,0.36367529752118205
0,25,0.0,0.4272710000865918
0,26,0.0,0.4987458344200905
0,27,0.0,0.612007635536102
0,28,0.0,0.744260571738451
0,29,0.0,0.841558465681596
0,30,0.0,0.8844947549632844
0,31,0.0,0.8871531341438154
0,32,0.0,0.8913318005230149
0,33,0.0,0.8938108093182199
0,34,0.0,0.871173275265353
0,35,0.03073865907196357,0.8149053188505238
0,36,0.20375176137613046,0.7736884709433918
0,37,0.39405583243984393,0.7510868189148824
0,38,0.596443984107544,0.6297923046086984
0,39,0.7201637843038439,0.45548866328104615
0,40,0.7825178282486204,0.34060000674480057
0,41,0.821245995942085,0.29292242749850383
0,42,0.7261365019730375,0.26501134600247345
0,43,0.6555911135625131,0.25030143585962494
0,44,0.5164021479758573,0.1949043847041039
0,45,0.32437997738130125,0.1382398037700376
0,46,0.12385459518523156,0.09253110470303784
0,47,0.00787290675235073,0.20372889406839198
0,48,0.0,0.3212494205985689
0,49,0.0,0.44414159147667803
0,50,0.0,0.4351546965806477
0,51,0.0,0.4577427637065244
0,52,0.0,0.6843099841551716
0,53,0.0,0.7025636130073478
0,54,0.0,0.7153972084361085
0,55,0.0,0.7052481934169049
0,56,0.0,0.6881900310293366
0,57,0.0,0.658062929055189
0,58,0.0,0.49046419216946685
0,59,0.03888562342277729,0.36991220330918456
0,60,0.21369477645461918,0.22725193156295717
0,61,0.4008106764870277,0.10090270843890564
0,62,0.6106088325640664,0.06779888980214474
0,63,0.7405922399207893,0.047123519845770005
0,64,0.7899329815212573,0.050216645712888856
0,65,0.7759837267860293,0.04614984181781168
0,66,0.7523798476376695,0.04373069538034532
0,67,0.6657643264028821,0.04506408182387158
0,68,0.5079021559284155,0.06873124004793073
0,69,0.27609959553561886,0.08958607290108006
0,70,0.11125000694943389,0.09979999805034397
0,71,0.008503596581479724,0.18611527183428947
0,72,0.0,0.37462562808045896
0,73,0.0,0.4715834300708434
0,74,0.0,0.5801198556749099
0,75,0.0,0.6816720791862133
0,76,0.0,0.7409711278853545
0,77,0.0,0.730089134105024
0,78,0.0,0.7996294311165983
0,79,0.0,0.8660658783836194
0,80,0.0,0.9053028571173186
0,81,0.0,0.9119907121339154
0,82,0.0,0.8643006953752996
0,83,0.03266246717965636,0.8513159424485813
0,84,0.22155897479191045,0.7420731192923234
0,85,0.42909101694950214,0.5205456816533495
0,86,0.6259113126943872,0.40594334618743344
0,87,0.7429938973639905,0.32786684522142573
0,88,0.7877786098568971,0.2977656265846158
0,89,0.797622814708936,0.2526068646169421
0,90,0.7300917784238788,0.1961433067141986
0,91,0.6619895563255096,0.17250695821732795
0,92,0.5311560302228318,0.1315321960069898
0,93,0.3315244079960927,0.09599290235166862
0,94,0.12994402428651142,0.06657518685664461
0,95,0.00945654515367291,0.05856033582661062
0,96,0.0,0.05092953396764527
0,97,0.0,0.0550128098676055
0,98,0.0,0.09489257615077187
0,99,0.0,0.16212121074769692
0,100,0.0,0.2048189409435125
0,101,0.0,0.2158039341144973
0,102,0.0,0.21649518089913666
0,103,0.0,0.26973015009716683
0,104,0.0,0.40275275671539457
0,105,0.0,0.4504811315765989
0,106,0.0,0.38064193938829105
0,107,0.044716655445745455,0.35247763232695517
0,108,0.18503495217447627,0.4219309934122677
0,109,0.37237182562153576,0.4758487095175587
0,110,0.541148186834008,0.4934428720616107
0,111,0.6939158850049549,0.5567876289411693
0,112,0.7597675809272781,0.5888848100181507
0,113,0.7727314565817758,0.6024388523216243
0,114,0.7105968055682971,0.6267706845032973
0,115,0.61864999951482,0.6282671596276623
0,116,0.4899402881415274,0.6416082095326765
0,117,0.3024789251101753,0.6943078714787633
0,118,0.12107180342012921,0.6717920502061923
0,119,0.010204791453269113,0.7186313093330325
0,120,0.0,0.7203711752485852
0,121,0.0,0.7114799284979092
0,122,0.0,0.6966672983613982
0,123,0.0,0.6758374504290366
0,124,0.0,0.6743223587726546
0,125,0.0,0.691939757212324
0,126,0.0,0.767076914899131
0,127,0.0,0.823675006799691
0,128,0.0,0.82144971034144
0,129,0.0,0.8021238675928186
0,130,0.0,0.7641469419741589
0,131,0.042671482537815254,0.6139709197040907
0,132,0.21855311022233653,0.513600637359454
0,133,0.4198874773979051,0.5157577410834302
0,134,0.6081008565315398,0.4530284920519232
0,135,0.7135312115929017,0.37164875123023683
0,136,0.7579121825574535,0.33583859026265395
0,137,0.7690925380159701,0.31319966543364935
0,138,0.7282370182961216,0.3293511212522384
0,139,0.6350301162174232,0.4670099968519626
0,140,0.43581966928188626,0.4883030353264605
0,141,0.29003417606912074,0.5017263496400306
