period_id,TimeStep,WIND-ON
0,0,0.320098592702282
0,1,0.3105386900338018
0,2,0.2921987282800991
0,3,0.27939254102778
0,4,0.2385997913891069
0,5,0.17716116627751208
0,6,0.14839002471733742
0,7,0.1617665540992919
0,8,0.15461441163958345
0,9,0.1685849789853874
0,10,0.13566247389836938
0,11,0.13409003729420235
0,12,0.09300743315422974
0,13,0.06826781398325298
0,14,0.06905467005524238
0,15,0.07155175530375549
0,16,0.051389007670895284
0,17,0.05242445617040068
0,18,0.1261141524161244
0,19,0.19323664849424702
0,20,0.26884920908533194
0,21,0.36918903578075823
0,22,0.4320453131245443
0,23,0.47781928116673394
0,24,0.5014959763232287
0,25,0.5006878801291862
0,26,0.49653354829007057
0,27,0.49833729271422195
0,28,0.4885497002288685
0,29,0.4726674533529222
0,30,0.4624628487561048
0,31,0.47493721684336265
0,32,0.48586174445461494
0,33,0.48810816675859287
0,34,0.40025374693421617
0,35,0.42510935082107093
0,36,0.5125296341139871
0,37,0.5989591031150532
0,38,0.7375408531453677
0,39,0.8710643964077768
0,40,0.8496167309142745
0,41,0.77723003732934
0,42,0.7490555801801011
0,43,0.7389177566489449
0,44,0.6924905274486529
0,45,0.6813638744609611
0,46,0.6733766587362372
0,47,0.6831724468629049
0,48,0.7213531562077593
0,49,0.7933132592117088
0,50,0.8732486331656959
0,51,0.9291003730399583
0,52,0.9443636731629265
0,53,0.9620736613007919
0,54,0.9585976961042986
0,55,0.9497238252382445
0,56,0.9518924574951015
0,57,0.9612585079145197
0,58,0.9726287890062659
0,59,0.9710960312269923
0,60,0.9895638449851959
0,61,0.9947010040911719
0,62,0.9993789331021002
0,63,0.9997454421816695
0,64,0.9999857324245341
0,65,0.9999615925355726
0,66,0.9964095598667508
0,67,0.9992124930380591
0,68,0.9989698424504959
0,69,0.9998043792735345
0,70,0.9999061363560912
0,71,0.9987630977125882
0,72,0.9952853443761719
0,73,0.9978697072442142
0,74,0.9996589558140561
0,75,0.999845065417251
0,76,0.9983590496155671
0,77,0.9971539744376657
0,78,0.9940889953210954
0,79,0.9915527453379169
0,80,0.9869246100633802
0,81,0.9908577191916776
0,82,0.9886453371113691
0,83,0.9926243179891601
0,84,0.9995736138559933
0,85,0.9999971985816957
0,86,0.9920670859053943
0,87,0.9934509154709402
0,88,0.9879268505693389
0,89,0.9859647365526659
0,90,0.9633535522530751
0,91,0.8948306833348848
0,92,0.8670594040545713
0,93,0.7944807715302922
0,94,0.7694393501030964
0,95,0.7606412844488484
0,96,0.7452873375527124
0,97,0.7088684109484811
0,98,0.6604269851760229
0,99,0.6047671365573738
0,100,0.5783124289396324
0,101,0.5459184503301484
0,102,0.5278708732957363
0,103,0.5406811196256809
0,104,0.5557740934605083
0,105,0.5471508125232758
0,106,0.5304449483987547
0,107,0.5372402615763443
0,108,0.5445595593560631
0,109,0.5398838237967738
0,110,0.5616420295902526
0,111,0.5838569501619538
0,112,0.5854434475063827
0,113,0.5876188627740148
0,114,0.5944273008986398
0,115,0.5713581143600818
0,116,0.5545917515014961
0,117,0.5660914104771444
0,118,0.5568856966041631
0,119,0.5208704723899013
0,120,0.5073214381693331
0,121,0.5229975482749457
0,122,0.5240303659735892
0,123,0.4919347325498062
0,124,0.42078341119353635
0,125,0.3441080130147325
0,126,0.2692091854937154
0,127,0.21262645401889427
0,128,0.18837007668189923
0,129,0.16112427510055063
0,130,0.16304377774285647
0,131,0.10654582794225542
0,132,0.05327682223858909
0,133,0.024751868057733883
0,134,0.018620304969012024
0,135,0.030980806541142453
0,136,0.0548296243213423
0,137,0.05465859767839842
0,138,0.040742070156245175
0,139,0.0490868646917391
0,140,0.12547139061960388
0,141,0.2275511579264927
0,142,0.25361369069630213
0,143,0.31363297676371166
0,144,0.37501526652702954
0,145,0.4124721368310173
0,146,0.34865839400494675
0,147,0.32876016367573424
0,148,0.273351822897734
0,149,0.2309179482399817
0,150,0.19953786284828853
0,151,0.14300046370075095
0,152,0.11503219994627657
0,153,0.08805394433057043
0,154,0.04640917284064418
0,155,0.054340653734082034
0,156,0.04348680980387293
0,157,0.02367464749203765
0,158,0.026239201495023828
0,159,0.03975315427294665
0,160,0.07810717162926342
0,161,0.0838787523491353
0,162,0.049260397710808514
0,163,0.05365856552524474
0,164,0.08016640548562587
0,165,0.17162839015425216
0,166,0.3108824122502844
0,167,0.3819791834179672
1,0,0.5047039629235593
1,1,0.5090274667071544
1,2,0.5147352888145407
1,3,0.4756942934317553
1,4,0.44190680347245276
1,5,0.4512396421730327
1,6,0.47066754401874145
1,7,0.5061267858603615
1,8,0.5789311809840411
1,9,0.6110185770432451
1,10,0.6095008436129697
1,11,0.6943414668458411
1,12,0.7527004530737293
1,13,0.7563308142184707
1,14,0.8107877413744149
1,15,0.8927278824427073
1,16,0.9563592985749311
1,17,0.9680020762963791
1,18,0.9778953975217408
1,19,0.9812973734618609
1,20,0.9758825480149833
1,21,0.9686830993201984
1,22,0.9697074650774723
1,23,0.9847901074371885
1,24,0.9783499029537472
1,25,0.9646350882940875
1,26,0.9536519553902671
1,27,0.9262655593206435
1,28,0.8823311004878893
1,29,0.8771668927853433
1,30,0.8815002909431792
1,31,0.839306188961125
1,32,0.7321503742169538
1,33,0.6497939541745663
1,34,0.6575696210254561
1,35,0.7620976846797619
1,36,0.7628198349218123
1,37,0.7365509666994552
1,38,0.6695713579023534
1,39,0.6355403729560797
1,40,0.6345358158155096
1,41,0.6384983338850754
1,42,0.7039955349494934
1,43,0.7738786061443792
1,44,0.8656705835918175
1,45,0.9320114489401704
