period_id,TimeStep,WIND-ON
0,0,0.49647910396543515
0,1,0.44295320462577736
0,2,0.41764304935325347
0,3,0.3870725962666962
0,4,0.3766251761908038
0,5,0.3717430184409158
0,6,0.38929211108961126
0,7,0.4152252867359277
0,8,0.3940197546066123
0,9,0.37876977879861956
0,10,0.3655848225457728
0,11,0.3913245973399139
0,12,0.4627015844446598
0,13,0.5381522300739391
0,14,0.585911907281344
0,15,0.6059782860666946
0,16,0.6045249132332983
0,17,0.6210147038116499
0,18,0.6724985178421227
0,19,0.7241842561905466
0,20,0.7408650634348425
0,21,0.7372581852254996
0,22,0.6897555558054275
0,23,0.721352856227259
0,24,0.7083398756621386
0,25,0.6848922927314204
0,26,0.6605291768693902
0,27,0.637539904974137
0,28,0.6315554024645279
0,29,0.6175787121504145
0,30,0.6082199846587683
0,31,0.5948112833653514
0,32,0.5665173975944963
0,33,0.5729586180696802
0,34,0.5337613176411347
0,35,0.5546794686319327
0,36,0.6156925824230651
0,37,0.7135280545519864
0,38,0.7844954492994557
0,39,0.853507031058369
0,40,0.9067483154573981
0,41,0.9171757923573284
0,42,0.9220849510162826
0,43,0.9357352950028169
0,44,0.9441370534901777
0,45,0.9295294587318941
0,46,0.9028178435718517
0,47,0.892227868124463
0,48,0.8680295591356512
0,49,0.8610607670149912
0,50,0.8651178229335887
0,51,0.8506182101371494
0,52,0.8333348865206481
0,53,0.8296505981192683
0,54,0.8215533327252375
0,55,0.7868551759471739
0,56,0.7292334261859168
0,57,0.6913422371607675
0,58,0.6499447609108036
0,59,0.7364081957411204
0,60,0.8319737166711307
0,61,0.9113810927461278
0,62,0.9429563611197427
0,63,0.9644441321313637
0,64,0.9773946632730467
0,65,0.9820928160319519
0,66,0.9753546993477468
0,67,0.9655210907263295
0,68,0.9679964233132264
0,69,0.955922432820768
0,70,0.9127247388268471
0,71,0.8867157162560566
0,72,0.8395934241444861
0,73,0.8127726349294836
0,74,0.7997819735986484
0,75,0.7758364316991642
0,76,0.7687177717994651
0,77,0.7571183264832629
0,78,0.7481702913257228
0,79,0.7173411215214709
0,80,0.6824384286578125
0,81,0.656767277787586
0,82,0.6340367334472378
0,83,0.6860239900748081
0,84,0.7811703493909873
0,85,0.8829053314960822
0,86,0.9207857591715614
0,87,0.9404627949267836
0,88,0.9523119620762632
0,89,0.961098024291037
0,90,0.949995156199308
0,91,0.9343904297359569
0,92,0.9311690256727222
0,93,0.9239153774835076
0,94,0.9101036403449492
0,95,0.9053381505808337
0,96,0.8967407858690337
0,97,0.893348208071623
0,98,0.8702824471471953
0,99,0.8473903470966708
0,100,0.8489431730075305
0,101,0.8570904412891517
0,102,0.8690562005639327
0,103,0.8557917858863324
0,104,0.819031589785912
0,105,0.8249249025907901
0,106,0.8204121148927408
0,107,0.9013054079431874
0,108,0.9450050002317603
0,109,0.9695192464078111
0,110,0.9902828696192093
0,111,0.9948946877435265
0,112,0.9924805149520599
0,113,0.9837281347864043
0,114,0.97139305422723
0,115,0.9632768291340577
0,116,0.9689686348535753
0,117,0.9585316049529057
0,118,0.9465183895349172
0,119,0.9388833148975823
0,120,0.9188560963710761
0,121,0.8955691588248818
0,122,0.8761818775571981
0,123,0.8806952342087797
0,124,0.8774323236307052
0,125,0.8627626587513394
0,126,0.8309304780555182
0,127,0.8110598680527589
0,128,0.7729550451041013
0,129,0.7643072819465411
0,130,0.7394396614408199
0,131,0.8156337017555321
0,132,0.8912830476327455
0,133,0.9278121727385409
0,134,0.9569663433434091
0,135,0.9723236671364527
0,136,0.9870086287379323
0,137,0.991122970149335
0,138,0.9882149185987203
0,139,0.9856021485128159
0,140,0.9794036165215286
0,141,0.9533349242717021
0,142,0.9088711406914356
0,143,0.8890779137876874
0,144,0.8583382593391997
0,145,0.838531534690221
0,146,0.837012981456432
0,147,0.8279567204998193
0,148,0.8143727977742388
0,149,0.8101145707237952
0,150,0.8063123788946872
0,151,0.7958750076218979
0,152,0.7336752464133581
0,153,0.7187190944653117
0,154,0.6780909029958073
0,155,0.7455845817535404
0,156,0.8086290167948853
0,157,0.8736140168701176
0,158,0.9142248308731612
0,159,0.9330638847728397
0,160,0.9457112991468809
0,161,0.9372148017684678
0,162,0.9253748679220282
0,163,0.9045398112399861
0,164,0.8844693522450174
0,165,0.8456911104768071
0,166,0.7882667063122162
0,167,0.7982155307332469
1,0,0.6625875459899128
1,1,0.6228712750483398
1,2,0.629072811656139
1,3,0.6841178006714878
1,4,0.7384603090820889
1,5,0.753331442213479
1,6,0.7557126382775877
1,7,0.7312765175494431
1,8,0.7006608940679175
1,9,0.6954215454841877
1,10,0.7016226946617243
1,11,0.7721907427310041
1,12,0.8595709992175384
1,13,0.9230772068798879
1,14,0.954372452580671
1,15,0.980496904985975
1,16,0.9931004783294918
1,17,0.9980615526436262
1,18,0.9971269417069623
1,19,0.9982353498857571
1,20,0.995966111233413
1,21,0.9895865951234691
1,22,0.9597484945083121
1,23,0.9485214112170485
1,24,0.9318563964972305
1,25,0.9179223478957191
1,26,0.8836043216160634
1,27,0.8437582814047587
1,28,0.8416188815609114
1,29,0.8178542072800742
1,30,0.7857167775955157
1,31,0.7580445512254794
1,32,0.7144357187656348
1,33,0.6651168596236227
1,34,0.6486427089457062
1,35,0.7418749803385739
1,36,0.8405445275087825
1,37,0.907645372751621
1,38,0.9412847404206205
1,39,0.9577710802506431
1,40,0.9620403928639601
1,41,0.9733831489238649
1,42,0.9876393706239504
1,43,0.9813692191232447
1,44,0.9548492202881071
1,45,0.9197273755547771
1,46,0.8667942092958701
