period_id,TimeStep,WIND-OFF
0,0,0.004712358024453472
0,1,0.0035150463451251875
0,2,0.0029988642609829596
0,3,0.0030940914841454353
0,4,0.003764483394883286
0,5,0.004784929892926852
0,6,0.00527350040782823
0,7,0.0045439527969954345
0,8,0.0044348895859017
0,9,0.005715219909175117
0,10,0.008098569245019635
0,11,0.01931970017443759
0,12,0.026055712660200826
0,13,0.020285884503749872
0,14,0.01426478653218345
0,15,0.023862213549244567
0,16,0.03231265132808501
0,17,0.024390949836786142
0,18,0.010481237887490134
0,19,0.007090865879522221
0,20,0.007310916103855617
0,21,0.00947355951248374
0,22,0.014055016764619234
0,23,0.024932648893797947
0,24,0.03277989424394977
0,25,0.038401214105174455
0,26,0.05031978172713075
0,27,0.06489326543535526
0,28,0.07249385163837159
0,29,0.07861453138735276
0,30,0.10965994910557642
0,31,0.1373472433629177
0,32,0.15531668582496333
0,33,0.16518626539439252
0,34,0.16173947587838947
0,35,0.19463147212444812
0,36,0.2379492950845222
0,37,0.3874646257627405
0,38,0.567200611380641
0,39,0.6220630022422923
0,40,0.6508490676461355
0,41,0.6399027665112522
0,42,0.6370641017086716
0,43,0.6595881688791352
0,44,0.7011380268768136
0,45,0.7300093467974446
0,46,0.8016039879384731
0,47,0.7494241440572762
0,48,0.745811612223961
0,49,0.7840804263343177
0,50,0.8332846074377717
0,51,0.7982750748949844
0,52,0.7706037025296009
0,53,0.7352317538505461
0,54,0.6436547136193983
0,55,0.6809152554813415
0,56,0.7262550287488021
0,57,0.7406225440380629
0,58,0.7677584348564199
0,59,0.7788327667781081
0,60,0.7879292045067032
0,61,0.8078683107531776
0,62,0.8738235639597259
0,63,0.9096306000880844
0,64,0.9331178916375303
0,65,0.9433663547832951
0,66,0.957514703776894
0,67,0.9635246935528194
0,68,0.9701187956469026
0,69,0.9666089361334629
0,70,0.9189197860072014
0,71,0.9361579539275278
0,72,0.9548998213189305
0,73,0.9535805916148549
0,74,0.9525710014414166
0,75,0.961763376164511
0,76,0.9688845952864952
0,77,0.9653336019422649
0,78,0.969836368950063
0,79,0.9731197307959705
0,80,0.9716113093121176
0,81,0.9724364760777267
0,82,0.9592127740095027
0,83,0.9599686735498273
0,84,0.9692008575559488
0,85,0.9471353024619835
0,86,0.9403813340756036
0,87,0.9489616087863006
0,88,0.9604162581072783
0,89,0.9558359984325854
0,90,0.9450818958009023
0,91,0.9585532088280061
0,92,0.9720539135699782
0,93,0.9800506653862723
0,94,0.9703723339570233
0,95,0.9459595146579397
0,96,0.9440505168167571
0,97,0.9285364796062835
0,98,0.911152578318295
0,99,0.8992809348704613
0,100,0.8755832124178525
0,101,0.8318623345404464
0,102,0.792289330965867
0,103,0.7656181378620631
0,104,0.7246028540961932
0,105,0.6941202151987138
0,106,0.7114020004768872
0,107,0.6150581512640569
0,108,0.6282749524384337
0,109,0.6871698494927237
0,110,0.5979519943965645
0,111,0.6580795487131178
0,112,0.6684427375634047
0,113,0.6788383712111546
0,114,0.7532290333395232
0,115,0.7771582536274706
0,116,0.7546303121547989
0,117,0.7583924317897676
0,118,0.7812475630509406
0,119,0.7857980468919135
0,120,0.8142001457673794
0,121,0.8458256773252
0,122,0.8800961453297346
0,123,0.8779511130771237
0,124,0.869004375736742
0,125,0.8821813080234421
0,126,0.8914755735832316
0,127,0.9003679912198386
0,128,0.9067005944717436
0,129,0.9199549730661664
0,130,0.91277074520708
0,131,0.9314660613673401
0,132,0.9510255058656678
0,133,0.9629685755516401
0,134,0.9726851400520781
0,135,0.9790053190459627
0,136,0.98406442922806
0,137,0.986680629611048
0,138,0.9888283771865737
0,139,0.9903674685738869
0,140,0.9922788969602153
0,141,0.9921541974110354
0,142,0.9845582868616235
0,143,0.9830365669182266
0,144,0.979594789159823
0,145,0.9748323445630209
0,146,0.9677377620965577
0,147,0.9390222553520677
0,148,0.9165401895911799
0,149,0.8832057861137403
0,150,0.8645186159222249
0,151,0.8376715758573594
0,152,0.8174937927266692
0,153,0.774924966757388
0,154,0.6976795399483755
0,155,0.70396932719383
0,156,0.7216579671857312
0,157,0.731738398202238
0,158,0.7420491680747904
0,159,0.7737140254557048
0,160,0.7896697596088212
0,161,0.7908428585809056
0,162,0.8044467985755532
0,163,0.8159286143711568
0,164,0.8285845556633615
0,165,0.8352186061179873
0,166,0.8037227080497651
0,167,0.8110080386396277
1,0,0.7332061866999232
1,1,0.7200811162530545
1,2,0.7474513477173873
1,3,0.7598819569440917
1,4,0.762808753843476
1,5,0.7723978008193675
1,6,0.7640756432148406
1,7,0.7563827542452508
1,8,0.7441943485111823
1,9,0.7285174018599253
1,10,0.7141384284046692
1,11,0.6993234245876704
1,12,0.7017988429281042
1,13,0.7091510317220063
1,14,0.6825306714499904
1,15,0.6708293921633203
1,16,0.6323699392047546
1,17,0.6077968272745626
1,18,0.6098360215381433
1,19,0.6001012933486579
1,20,0.5231872824633544
1,21,0.5096023621467463
1,22,0.3824022778892039
1,23,0.3596419631379064
1,24,0.36312839181533346
1,25,0.2569159539603694
1,26,0.18478738616721216
1,27,0.16937744785594744
1,28,0.16438261549327804
1,29,0.15309292307418104
1,30,0.131301917757075
1,31,0.12533911333953401
1,32,0.11041520810288119
1,33,0.08984394581082608
1,34,0.077485599770878
1,35,0.07395661430513732
1,36,0.06347812439989357
1,37,0.04620846794350117
1,38,0.04801444597798081
1,39,0.05101343435227766
1,40,0.04100811642156449
1,41,0.04396096055271494
1,42,0.07352476930736618
1,43,0.15612573988095232
1,44,0.18691088561936328
1,45,0.19298010668773852
1,46,0.14715612491020988
