period_id,TimeStep,PV-FIX
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.06228888038387336
0,8,0.22860746360465223
0,9,0.4045179203722242
0,10,0.5362225364584596
0,11,0.6453232579229974
0,12,0.7213215725500137
0,13,0.7225532591758936
0,14,0.6412586535570799
0,15,0.5409669628234781
0,16,0.3974000742962198
0,17,0.276670743333136
0,18,0.11590979067004036
0,19,0.008419988188389132
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.06657728459354316
0,32,0.22555549268218206
0,33,0.39054256613925864
0,34,0.5259793938339422
0,35,0.6356258811364761
0,36,0.6841153780916457
0,37,0.6678270847008936
0,38,0.6146627730839338
0,39,0.49247191294801695
0,40,0.3421220864100986
0,41,0.2616671924169962
0,42,0.10957167389459944
0,43,0.016985573229821565
0,44,0.0
0,45,0.0
0,46,0.0
0,47,0.0
0,48,0.0
0,49,0.0
0,50,0.0
0,51,0.0
0,52,0.0
0,53,0.0
0,54,0.0
0,55,0.07277191721909954
0,56,0.23814691335751312
0,57,0.43025575467620525
0,58,0.5792817232680069
0,59,0.6783044503361795
0,60,0.757045287099428
0,61,0.746941224695481
0,62,0.6807382066083154
0,63,0.5846318009447943
0,64,0.4561504678521791
0,65,0.30393634735301206
0,66,0.13279792291656486
0,67,0.010154372604027122
0,68,0.0
0,69,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,74,0.0
0,75,0.0
0,76,0.0
0,77,0.0
0,78,0.0
0,79,0.08067221350832599
0,80,0.257458079234057
0,81,0.4548209290684751
0,82,0.6184296316148546
0,83,0.7252003220148652
0,84,0.81535212330921
0,85,0.8064731693868044
0,86,0.7151501936016554
0,87,0.6236324778645852
0,88,0.47911626682314573
0,89,0.3108203191835699
0,90,0.1447402256970551
0,91,0.007723435517031342
0,92,0.0
0,93,0.0
0,94,0.0
0,95,0.0
0,96,0.0
0,97,0.0
0,98,0.0
0,99,0.0
0,100,0.0
0,101,0.0
0,102,0.0
0,103,0.07696575092917915
0,104,0.24359303148738726
0,105,0.44265504048947546
0,106,0.6003154714755962
0,107,0.7171474122477262
0,108,0.7820364070796102
0,109,0.7879057726670351
0,110,0.6951442850579655
0,111,0.5815999562157219
0,112,0.44820540057426833
0,113,0.28533990193224856
0,114,0.12357700931892954
0,115,0.013993087725917164
0,116,0.0
0,117,0.0
0,118,0.0
0,119,0.0
0,120,0.0
0,121,0.0
0,122,0.0
0,123,0.0
0,124,0.0
0,125,0.0
0,126,0.0
0,127,0.08423599576117445
0,128,0.253114778847072
0,129,0.43849763856870533
0,130,0.590911722132342
0,131,0.6871772840104334
0,132,0.7535890880894405
0,133,0.7329087520174417
0,134,0.6538673145266081
0,135,0.5615142161060609
0,136,0.4257196368569083
0,137,0.27032039201359326
0,138,0.12033839805669376
0,139,0.020690838869701036
0,140,0.0
0,141,0.0
0,142,0.0
0,143,0.0
0,144,0.0
0,145,0.0
0,146,0.0
0,147,0.0
0,148,0.0
0,149,0.0
0,150,0.0
0,151,0.07004151188468459
0,152,0.23372863390476978
0,153,0.41966469160078873
0,154,0.5685553424563394
0,155,0.6636619929027288
0,156,0.7399937288909686
0,157,0.7377946243899759
0,158,0.6709996242059265
0,159,0.5879571601473067
0,160,0.45983837057668964
0,161,0.2809112251524706
0,162,0.1374137646802436
0,163,0.00655885787735183
0,164,0.0
0,165,0.0
0,166,0.0
0,167,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0010891027530010998
1,8,0.15856175161207628
1,9,0.36273013371630675
1,10,0.558455957242174
1,11,0.6927938014820331
1,12,0.7503344979985627
1,13,0.7681601629937613
1,14,0.7070069852597145
1,15,0.6047910848108536
1,16,0.4231266713179666
1,17,0.2107065202404747
1,18,0.040497616567154934
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.003949002622774115
1,32,0.16444681908941
1,33,0.3772081269822184
1,34,0.5711434884736483
1,35,0.6984760836577951
1,36,0.7441250212655394
1,37,0.7616363041939277
1,38,0.7057192642231133
1,39,0.5738665228606123
1,40,0.40829351158705846
1,41,0.19540628355773346
1,42,0.03399016571010113
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,0.0
1,52,0.0
1,53,0.0
1,54,0.0
1,55,0.0
1,56,0.1613767389613278
1,57,0.3539006765615687
1,58,0.5534251300992402
1,59,0.6908756410769594
1,60,0.7589461337238589
1,61,0.7714736486435207
1,62,0.6967037131268968
1,63,0.5770350099963293
1,64,0.4124024707063674
1,65,0.2161293477095246
1,66,0.03814812828245223
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.1677222377833336
1,81,0.37109297616602377
1,82,0.5667582557271984
1,83,0.7030870159460109
1,84,0.7780793249403
1,85,0.7988676238005623
1,86,0.7132963092507038
1,87,0.6094217774884927
1,88,0.42792721451096644
1,89,0.22123344514507126
1,90,0.03658778817754509
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
1,97,0.0
1,98,0.0
1,99,0.0
1,100,0.0
1,101,0.0
1,102,0.0
1,103,0.0
1,104,0.1549993607062379
1,105,0.3658342038624876
1,106,0.5644500939328181
1,107,0.704759684265764
1,108,0.7745172743261695
1,109,0.7652111886021811
1,110,0.7091592831962681
1,111,0.5932268848067762
1,112,0.43313556485716914
1,113,0.19011142616461937
1,114,0.0351709235038597
1,115,0.0
1,116,0.0
1,117,0.0
1,118,0.0
1,119,0.0
1,120,0.0
1,121,0.0
1,122,0.0
1,123,0.0
1,124,0.0
1,125,0.0
1,126,0.0
1,127,0.0
1,128,0.1292596458194302
1,129,0.3275560303255875
1,130,0.5043498064843395
1,131,0.6255965085398888
1,132,0.7005108705516214
1,133,0.727505459133755
1,134,0.6581131205329679
1,135,0.5552404409356532
1,136,0.3799198466653703
1,137,0.17928880232097613
1,138,0.028149793435596683
1,139,0.0
1,140,0.0
1,141,0.0
1,142,0.0
1,143,0.0
1,144,0.0
1,145,0.0
1,146,0.0
1,147,0.0
1,148,0.0
1,149,0.0
1,150,0.0
1,151,0.0
1,152,0.11352076037973866
1,153,0.29178333900700226
1,154,0.47493440415556476
1,155,0.6215492734499551
1,156,0.6887509029324552
1,157,0.719374575782391
1,158,0.6483021540714039
1,159,0.5440839852019428
1,160,0.3511735166958467
1,161,0.1822485198659602
1,162,0.03130010235585648
1,163,0.0
1,164,0.0
1,165,0.0
1,166,0.0
1,167,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.10768118308657534
2,9,0.30790763089133566
2,10,0.49871545381306664
2,11,0.6440589755507024
2,12,0.7551143516524329
2,13,0.755482842517105
2,14,0.6504103198297082
2,15,0.5332803949686227
2,16,0.4064574189245488
2,17,0.18852243957769554
2,18,0.03274597178892427
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
