period_id,TimeStep,PV-FIX
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.016066657983613196
0,8,0.1380158723664001
0,9,0.33108622639506724
0,10,0.4563596294424846
0,11,0.5620847806126218
0,12,0.6396109151924079
0,13,0.6636837819939644
0,14,0.6199927206734114
0,15,0.5209156312560087
0,16,0.4036055884037022
0,17,0.2421953372909153
0,18,0.07198577030009518
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.024282415597117045
0,32,0.15268690902165846
0,33,0.3370494009624763
0,34,0.495786972540116
0,35,0.6073033341781219
0,36,0.6735348207213657
0,37,0.6950957728811982
0,38,0.643725063615357
0,39,0.5705981227304181
0,40,0.43388068385490586
0,41,0.276040908142616
0,42,0.09000214205591357
0,43,0.0
0,44,0.0
0,45,0.0
0,46,0.0
0,47,0.0
0,48,0.0
0,49,0.0
0,50,0.0
0,51,0.0
0,52,0.0
0,53,0.0
0,54,0.0
0,55,0.018699944384326712
0,56,0.1646120501696828
0,57,0.3666997950426915
0,58,0.5293298443797076
0,59,0.6605766029988548
0,60,0.7130006922751058
0,61,0.7340160959428083
0,62,0.6871924038593749
0,63,0.5559285242692391
0,64,0.4402935122109499
0,65,0.26699566979779904
0,66,0.07938206062077172
0,67,0.0
0,68,0.0
0,69,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,74,0.0
0,75,0.0
0,76,0.0
0,77,0.0
0,78,0.0
0,79,0.021693114341827996
0,80,0.15021225496186255
0,81,0.3477161519242368
0,82,0.5183764604937341
0,83,0.6510612488570292
0,84,0.7285165760886415
0,85,0.7311448527974849
0,86,0.6898869168695182
0,87,0.5878189120643877
0,88,0.42663272989033774
0,89,0.253854402472948
0,90,0.08170567642579042
0,91,0.0
0,92,0.0
0,93,0.0
0,94,0.0
0,95,0.0
0,96,0.0
0,97,0.0
0,98,0.0
0,99,0.0
0,100,0.0
0,101,0.0
0,102,0.0
0,103,0.028532617321243906
0,104,0.18173559476937787
0,105,0.37159310248129374
0,106,0.5337911991159139
0,107,0.6585370775957057
0,108,0.7146972264009483
0,109,0.7023677707106192
0,110,0.6295866914624171
0,111,0.5438278714563887
0,112,0.4081924227634515
0,113,0.24742956016841125
0,114,0.08581150207611256
0,115,0.001152106311826366
0,116,0.0
0,117,0.0
0,118,0.0
0,119,0.0
0,120,0.0
0,121,0.0
0,122,0.0
0,123,0.0
0,124,0.0
0,125,0.0
0,126,0.0
0,127,0.026408753878421547
0,128,0.18558394540949882
0,129,0.36907694095250926
0,130,0.5240901249129754
0,131,0.632589153731093
0,132,0.7046134443196967
0,133,0.7235951395485486
0,134,0.6853583508762074
0,135,0.5743322825734264
0,136,0.42155338913995294
0,137,0.25739125430959975
0,138,0.07600868282008595
0,139,0.0
0,140,0.0
0,141,0.0
0,142,0.0
0,143,0.0
0,144,0.0
0,145,0.0
0,146,0.0
0,147,0.0
0,148,0.0
0,149,0.0
0,150,0.0
0,151,0.010259832922165493
0,152,0.12754902352724645
0,153,0.32671012438469166
0,154,0.4727372038405505
0,155,0.5675302404281618
0,156,0.6109722178797645
0,157,0.6349030472194559
0,158,0.565158857919231
0,159,0.4638681321076215
0,160,0.36036118282598173
0,161,0.20243986016228419
0,162,0.05800106099524337
0,163,0.0
0,164,0.0
0,165,0.0
0,166,0.0
0,167,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.002599266313749928
1,8,0.10075384536789532
1,9,0.2937112236431081
1,10,0.4868785120647078
1,11,0.5919742505140403
1,12,0.6545616096866543
1,13,0.7118048320798404
1,14,0.7013739715004529
1,15,0.5987202812459885
1,16,0.4288698039838126
1,17,0.2718832167448817
1,18,0.05618883472787588
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.003141541515645791
1,32,0.10407861386715925
1,33,0.24991668223184565
1,34,0.3732642574431081
1,35,0.44582157391249033
1,36,0.5849088183162304
1,37,0.5687188195994878
1,38,0.5828343626078933
1,39,0.42365255713434424
1,40,0.313818545597262
1,41,0.18818463087959786
1,42,0.03680268957652443
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,0.0
1,52,0.0
1,53,0.0
1,54,0.0
1,55,0.0024595162750251135
1,56,0.052399192988537215
1,57,0.13174562425549408
1,58,0.23955323368599946
1,59,0.25163929230617527
1,60,0.23764425652759574
1,61,0.1707969459193386
1,62,0.1590308353114905
1,63,0.11178176718151117
1,64,0.0881031773112197
1,65,0.056829916543280685
1,66,0.03396415954062265
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.002541046209540798
1,80,0.09751853596613712
1,81,0.2604795103844892
1,82,0.40653691556410354
1,83,0.4613508037910931
1,84,0.6180682343681096
1,85,0.6889338526703928
1,86,0.627973630766031
1,87,0.5228162705583681
1,88,0.38012120010632544
1,89,0.23803254102021637
1,90,0.0705867679718968
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
1,97,0.0
1,98,0.0
1,99,0.0
1,100,0.0
1,101,0.0
1,102,0.0
1,103,0.0
1,104,0.06419367409366893
1,105,0.2505984714331289
1,106,0.38165834189554054
1,107,0.5165437890992627
1,108,0.6222611558067812
1,109,0.7070408262581452
1,110,0.6147305915375858
1,111,0.5850679210536177
1,112,0.41644539643457545
1,113,0.24472098623445057
1,114,0.05928578758201068
1,115,0.0
1,116,0.0
1,117,0.0
1,118,0.0
1,119,0.0
1,120,0.0
1,121,0.0
1,122,0.0
1,123,0.0
1,124,0.0
1,125,0.0
1,126,0.0
1,127,0.003286219395968696
1,128,0.10562613216405747
1,129,0.29034587870828193
1,130,0.46807192992120433
1,131,0.5571031059462852
1,132,0.6533970206134073
1,133,0.6685531399262691
1,134,0.6274066601339536
1,135,0.5393106808118641
1,136,0.40934584863278295
1,137,0.2388085746896253
1,138,0.062491372895012255
1,139,0.0
1,140,0.0
1,141,0.0
1,142,0.0
1,143,0.0
1,144,0.0
1,145,0.0
1,146,0.0
1,147,0.0
1,148,0.0
1,149,0.0
1,150,0.0
1,151,0.0035618092188992316
1,152,0.10678768301975353
1,153,0.29301053956142775
1,154,0.41304497955205155
1,155,0.5579599367051816
1,156,0.6525318209544886
1,157,0.6218362946328491
1,158,0.6041560267220195
1,159,0.4883481482153265
1,160,0.3409480356648774
1,161,0.21508770881171252
1,162,0.06452948854410831
1,163,0.0
1,164,0.0
1,165,0.0
1,166,0.0
1,167,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.09266501061393859
2,9,0.28578775222171277
2,10,0.4527700547562622
2,11,0.6136138339720321
2,12,0.6697781637438948
2,13,0.6819807042586444
2,14,0.6244759310060672
2,15,0.47940198406872525
2,16,0.31167326451169597
2,17,0.119300710876819
2,18,0.003738623339025206
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
