chain,EL_STR,ELY,H2_STR,DERIV,DERIV2,PRE_SHP,PRE_PPL,POST_SHP,POST_PPL,SHP,SHP_OWN,PPLS,PPL,PPLX,PPLR,ELY_I,DERIV_I,DERIV_I2,FLOW_OUT,CAN_PIPELINE,is_green,is_blue
Methane (PEM) + reconv. to H2,EL-STR,PEM-EL,H2-STR,CH4SYN,,CH4-LIQ,CH4-COMP,REGASATR,ATR,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,,,,H2-G,True,True,False
Methane (SOEC),EL-STR,SOEC-EL,H2-STR,CH4SYN,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,,,,CH4-G,True,True,False
Methane (SOEC) + reconv. to H2,EL-STR,SOEC-EL,H2-STR,CH4SYN,,CH4-LIQ,CH4-COMP,REGASATR,ATR,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,,,,H2-G,True,True,False
Methanol (AEL),EL-STR,AEL-EL,H2-STR,CH3OHSYN,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,True,False
Methanol (PEM),EL-STR,PEM-EL,H2-STR,CH3OHSYN,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,True,False
Methanol (SOEC),EL-STR,SOEC-EL,H2-STR,CH3OHSYN,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,True,False
NH3-L__ATR_91%_NH3SYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-LIQ,CH4-LIQ,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,ATR91%,NH3SYN,,NH3-L,True,False,True
NH3-L__ATR_91%_NH3SYN__prod_in_supply,,ATR91%,,NH3SYN,,,,,,NH3-SB,NH3-S,,,,,,,,NH3-L,False,False,True
NH3-L__SMR_52%_BF_NH3SYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-LIQ,CH4-LIQ,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%BF,NH3SYN,,NH3-L,True,False,True
NH3-L__SMR_52%_BF_NH3SYN__prod_in_supply,,SMR52%BF,,NH3SYN,,,,,,NH3-SB,NH3-S,,,,,,,,NH3-L,False,False,True
NH3-L__SMR_52%_NH3SYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-LIQ,CH4-LIQ,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%,NH3SYN,,NH3-L,True,False,True
NH3-L__SMR_52%_NH3SYN__prod_in_supply,,SMR52%,,NH3SYN,,,,,,NH3-SB,NH3-S,,,,,,,,NH3-L,False,False,True
STL-S__ATR_91%_DRI_EAF__prod_in_demand,,ATR91%,,DRI,,,,,,DRI-SB,,,,,,,,EAF,STL-S,False,False,True
STL-S__ATR_91%_DRI_EAF__prod_in_supply,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,ATR91%,DRI,EAF,STL-S,True,False,True
STL-S__NG-DRI-C_EAF__prod_in_demand,,,,NG-DRI-C,,,,,,DRI-SB,,,,,,,,EAF,STL-S,False,False,True
STL-S__NG-DRI-C_EAF__prod_in_supply,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,,NG-DRI-C,EAF,STL-S,True,False,True
STL-S__SMR_52%_BF_DRI_EAF__prod_in_demand,,SMR52%BF,,DRI,,,,,,DRI-SB,,,,,,,,EAF,STL-S,False,False,True
STL-S__SMR_52%_BF_DRI_EAF__prod_in_supply,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%BF,DRI,EAF,STL-S,True,False,True
STL-S__SMR_52%_DRI_EAF__prod_in_demand,,SMR52%,,DRI,,,,,,DRI-SB,,,,,,,,EAF,STL-S,False,False,True
STL-S__SMR_52%_DRI_EAF__prod_in_supply,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,SMR52%,DRI,EAF,STL-S,True,False,True
