flow_code,flow_name,unit,secondary_process,secondary_flow,result_process_type,unit_short
B-DRI-S,Blue iron,kg DRI (s),False,False,,kg
BFUEL-L,bunker fuel,kwh bunker fuel (l),False,True,,kwh
CH3OH-L,methanol (liquid),kWh CH3OH (l),False,False,,kwh
CH4-G,methane (gas),kWh CH4 (g),False,False,,kwh
CH4-L,methane (liquid),kWh CH4 (l),False,False,,kwh
CHX-L,FT e-fuels,kwh CHx (l),False,False,,kwh
CO2-C,carbon dioxide (critical phase),kg CO2 (c),True,False,,kg
CO2-DAC,carbon dioxide from DAC,kg CO2 (g),True,True,Carbon,kg
CO2-G,carbon dioxide,kg CO2 (g),True,True,Carbon,kg
CO2-INDF,carbon dioxide fossil source,kg CO2 (g),True,True,Carbon,kg
CO2-INDS,carbon dioxide from sustainable source,kg CO2 (g),True,True,Carbon,kg
DIESEL-L,diesel (liquid),kWh diesel LHV,False,False,,kwh
DRI-S,Green iron,kg DRI (s),False,False,,kg
EL,electricity,kWh (el.),False,True,,kwh
H2-G,hydrogen (gas),kWh H2 (g),False,False,,kwh
H2-L,hydrogen (liquid),kWh H2 (l),False,False,,kwh
H2O-L,water,kg H2O (l),True,True,Water,kg
HEAT,heat,kWh (heat),False,True,Heat,kwh
IOP-S,iron ore pellets,kg IOP (s),False,True,,kg
LOHC-L,hydrogen (LOHC),kWh H2 (l),False,False,,kwh
N2-G,nitrogen,kg N2 (g),False,True,,kg
NG-G,natural gas (gasous),kWh natural gas LHV,False,False,,kwh
NG-L,natural gas (liquid),kWh natural gas LHV,False,False,,kwh
NH3-L,ammonia (liquid),kWh NH3 (l),False,False,,kwh
STL-S,crude steel,kg STL-S,False,False,,kg
