key,region,process_res,process_ely,process_deriv,process_flh,value,source
"ARE,PV-FIX,AEL-EL,,AEL-EL",ARE,PV-FIX,AEL-EL,,AEL-EL,2889.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,,H2-COMP",ARE,PV-FIX,AEL-EL,,H2-COMP,7008.0,
"ARE,PV-FIX,AEL-EL,,H2-LIQ",ARE,PV-FIX,AEL-EL,,H2-LIQ,2951.0,öko
"ARE,PV-FIX,AEL-EL,,H2-RGAS",ARE,PV-FIX,AEL-EL,,H2-RGAS,7008.0,öko
"ARE,PV-FIX,AEL-EL,CH3OHSYN,AEL-EL",ARE,PV-FIX,AEL-EL,CH3OHSYN,AEL-EL,3042.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHREC",ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHSYN",ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHSYN,8224.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH4SYN,AEL-EL",ARE,PV-FIX,AEL-EL,CH4SYN,AEL-EL,2992.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH4SYN,ATR",ARE,PV-FIX,AEL-EL,CH4SYN,ATR,7008.0,
"ARE,PV-FIX,AEL-EL,CH4SYN,CH4-LIQ",ARE,PV-FIX,AEL-EL,CH4SYN,CH4-LIQ,8245.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH4SYN,CH4-RGAS",ARE,PV-FIX,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-FIX,AEL-EL,CH4SYN,CH4SYN",ARE,PV-FIX,AEL-EL,CH4SYN,CH4SYN,8245.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,DRI,AEL-EL",ARE,PV-FIX,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,DRI,DRI",ARE,PV-FIX,AEL-EL,DRI,DRI,7008.0,öko
"ARE,PV-FIX,AEL-EL,EFUELSYN,AEL-EL",ARE,PV-FIX,AEL-EL,EFUELSYN,AEL-EL,3012.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,EFUELSYN,EFUELSYN",ARE,PV-FIX,AEL-EL,EFUELSYN,EFUELSYN,8220.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,LOHC-CON,AEL-EL",ARE,PV-FIX,AEL-EL,LOHC-CON,AEL-EL,2889.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-CON",ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-CON,2889.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-REC",ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-FIX,AEL-EL,NH3SYN,AEL-EL",ARE,PV-FIX,AEL-EL,NH3SYN,AEL-EL,2926.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,NH3SYN,NH3-REC",ARE,PV-FIX,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-FIX,AEL-EL,NH3SYN,NH3SYN",ARE,PV-FIX,AEL-EL,NH3SYN,NH3SYN,8161.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,,H2-COMP",ARE,PV-FIX,PEM-EL,,H2-COMP,7008.0,
"ARE,PV-FIX,PEM-EL,,H2-LIQ",ARE,PV-FIX,PEM-EL,,H2-LIQ,2951.0,öko
"ARE,PV-FIX,PEM-EL,,H2-RGAS",ARE,PV-FIX,PEM-EL,,H2-RGAS,7008.0,öko
"ARE,PV-FIX,PEM-EL,,PEM-EL",ARE,PV-FIX,PEM-EL,,PEM-EL,2889.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHREC",ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHSYN",ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHSYN,8224.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH3OHSYN,PEM-EL",ARE,PV-FIX,PEM-EL,CH3OHSYN,PEM-EL,3042.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH4SYN,ATR",ARE,PV-FIX,PEM-EL,CH4SYN,ATR,7008.0,
"ARE,PV-FIX,PEM-EL,CH4SYN,CH4-LIQ",ARE,PV-FIX,PEM-EL,CH4SYN,CH4-LIQ,8245.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH4SYN,CH4-RGAS",ARE,PV-FIX,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-FIX,PEM-EL,CH4SYN,CH4SYN",ARE,PV-FIX,PEM-EL,CH4SYN,CH4SYN,8245.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH4SYN,PEM-EL",ARE,PV-FIX,PEM-EL,CH4SYN,PEM-EL,2992.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,DRI,DRI",ARE,PV-FIX,PEM-EL,DRI,DRI,7008.0,öko
"ARE,PV-FIX,PEM-EL,DRI,PEM-EL",ARE,PV-FIX,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,EFUELSYN,EFUELSYN",ARE,PV-FIX,PEM-EL,EFUELSYN,EFUELSYN,8220.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,EFUELSYN,PEM-EL",ARE,PV-FIX,PEM-EL,EFUELSYN,PEM-EL,3012.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-CON",ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-CON,2889.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-REC",ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-FIX,PEM-EL,LOHC-CON,PEM-EL",ARE,PV-FIX,PEM-EL,LOHC-CON,PEM-EL,2889.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,NH3SYN,NH3-REC",ARE,PV-FIX,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-FIX,PEM-EL,NH3SYN,NH3SYN",ARE,PV-FIX,PEM-EL,NH3SYN,NH3SYN,8161.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,NH3SYN,PEM-EL",ARE,PV-FIX,PEM-EL,NH3SYN,PEM-EL,2926.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,,H2-COMP",ARE,PV-FIX,SOEC-EL,,H2-COMP,7008.0,
"ARE,PV-FIX,SOEC-EL,,H2-LIQ",ARE,PV-FIX,SOEC-EL,,H2-LIQ,2937.0,öko
"ARE,PV-FIX,SOEC-EL,,H2-RGAS",ARE,PV-FIX,SOEC-EL,,H2-RGAS,7008.0,öko
"ARE,PV-FIX,SOEC-EL,,SOEC-EL",ARE,PV-FIX,SOEC-EL,,SOEC-EL,2866.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHREC",ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHSYN",ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHSYN,8232.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH3OHSYN,SOEC-EL",ARE,PV-FIX,SOEC-EL,CH3OHSYN,SOEC-EL,8232.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH4SYN,ATR",ARE,PV-FIX,SOEC-EL,CH4SYN,ATR,7008.0,
"ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-LIQ",ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-LIQ,7852.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-RGAS",ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-FIX,SOEC-EL,CH4SYN,CH4SYN",ARE,PV-FIX,SOEC-EL,CH4SYN,CH4SYN,7852.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH4SYN,SOEC-EL",ARE,PV-FIX,SOEC-EL,CH4SYN,SOEC-EL,7852.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,DRI,DRI",ARE,PV-FIX,SOEC-EL,DRI,DRI,7008.0,öko
"ARE,PV-FIX,SOEC-EL,DRI,SOEC-EL",ARE,PV-FIX,SOEC-EL,DRI,SOEC-EL,7008.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,EFUELSYN,EFUELSYN",ARE,PV-FIX,SOEC-EL,EFUELSYN,EFUELSYN,8271.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,EFUELSYN,SOEC-EL",ARE,PV-FIX,SOEC-EL,EFUELSYN,SOEC-EL,8271.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,LOHC-CON,LOHC-CON",ARE,PV-FIX,SOEC-EL,LOHC-CON,LOHC-CON,2866.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,LOHC-CON,LOHC-REC",ARE,PV-FIX,SOEC-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-FIX,SOEC-EL,LOHC-CON,SOEC-EL",ARE,PV-FIX,SOEC-EL,LOHC-CON,SOEC-EL,2866.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,NH3SYN,NH3-REC",ARE,PV-FIX,SOEC-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-FIX,SOEC-EL,NH3SYN,NH3SYN",ARE,PV-FIX,SOEC-EL,NH3SYN,NH3SYN,4809.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,NH3SYN,SOEC-EL",ARE,PV-FIX,SOEC-EL,NH3SYN,SOEC-EL,4809.0,PTX Atlas
"ARE,PV-TRK,AEL-EL,,H2-COMP",ARE,PV-TRK,AEL-EL,,H2-COMP,7008.0,
"ARE,PV-TRK,AEL-EL,,H2-RGAS",ARE,PV-TRK,AEL-EL,,H2-RGAS,7008.0,öko
"ARE,PV-TRK,AEL-EL,CH3OHSYN,CH3OHREC",ARE,PV-TRK,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-TRK,AEL-EL,CH4SYN,ATR",ARE,PV-TRK,AEL-EL,CH4SYN,ATR,7008.0,
"ARE,PV-TRK,AEL-EL,CH4SYN,CH4-RGAS",ARE,PV-TRK,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-TRK,AEL-EL,DRI,AEL-EL",ARE,PV-TRK,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARE,PV-TRK,AEL-EL,DRI,DRI",ARE,PV-TRK,AEL-EL,DRI,DRI,7008.0,öko
"ARE,PV-TRK,AEL-EL,LOHC-CON,LOHC-REC",ARE,PV-TRK,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-TRK,AEL-EL,NH3SYN,NH3-REC",ARE,PV-TRK,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-TRK,PEM-EL,,H2-COMP",ARE,PV-TRK,PEM-EL,,H2-COMP,7008.0,
"ARE,PV-TRK,PEM-EL,,H2-RGAS",ARE,PV-TRK,PEM-EL,,H2-RGAS,7008.0,öko
"ARE,PV-TRK,PEM-EL,CH3OHSYN,CH3OHREC",ARE,PV-TRK,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-TRK,PEM-EL,CH4SYN,ATR",ARE,PV-TRK,PEM-EL,CH4SYN,ATR,7008.0,
"ARE,PV-TRK,PEM-EL,CH4SYN,CH4-RGAS",ARE,PV-TRK,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-TRK,PEM-EL,DRI,DRI",ARE,PV-TRK,PEM-EL,DRI,DRI,7008.0,öko
"ARE,PV-TRK,PEM-EL,DRI,PEM-EL",ARE,PV-TRK,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARE,PV-TRK,PEM-EL,LOHC-CON,LOHC-REC",ARE,PV-TRK,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-TRK,PEM-EL,NH3SYN,NH3-REC",ARE,PV-TRK,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-TRK,SOEC-EL,,H2-COMP",ARE,PV-TRK,SOEC-EL,,H2-COMP,7008.0,
"ARE,PV-TRK,SOEC-EL,,H2-RGAS",ARE,PV-TRK,SOEC-EL,,H2-RGAS,7008.0,öko
"ARE,PV-TRK,SOEC-EL,CH3OHSYN,CH3OHREC",ARE,PV-TRK,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-TRK,SOEC-EL,CH4SYN,ATR",ARE,PV-TRK,SOEC-EL,CH4SYN,ATR,7008.0,
"ARE,PV-TRK,SOEC-EL,CH4SYN,CH4-RGAS",ARE,PV-TRK,SOEC-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-TRK,SOEC-EL,DRI,DRI",ARE,PV-TRK,SOEC-EL,DRI,DRI,7008.0,öko
"ARE,PV-TRK,SOEC-EL,DRI,SOEC-EL",ARE,PV-TRK,SOEC-EL,DRI,SOEC-EL,7008.0,PTX Atlas
"ARE,PV-TRK,SOEC-EL,LOHC-CON,LOHC-REC",ARE,PV-TRK,SOEC-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-TRK,SOEC-EL,NH3SYN,NH3-REC",ARE,PV-TRK,SOEC-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,RES-HYBR,AEL-EL,,AEL-EL",ARE,RES-HYBR,AEL-EL,,AEL-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,,H2-COMP",ARE,RES-HYBR,AEL-EL,,H2-COMP,7008.0,
"ARE,RES-HYBR,AEL-EL,,H2-LIQ",ARE,RES-HYBR,AEL-EL,,H2-LIQ,3116.3347803479924,öko
"ARE,RES-HYBR,AEL-EL,,H2-RGAS",ARE,RES-HYBR,AEL-EL,,H2-RGAS,7008.0,öko
"ARE,RES-HYBR,AEL-EL,CH3OHSYN,AEL-EL",ARE,RES-HYBR,AEL-EL,CH3OHSYN,AEL-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,CH3OHSYN,CH3OHREC",ARE,RES-HYBR,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,RES-HYBR,AEL-EL,CH3OHSYN,CH3OHSYN",ARE,RES-HYBR,AEL-EL,CH3OHSYN,CH3OHSYN,7816.667432640892,PTX Atlas
"ARE,RES-HYBR,AEL-EL,CH4SYN,AEL-EL",ARE,RES-HYBR,AEL-EL,CH4SYN,AEL-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,CH4SYN,ATR",ARE,RES-HYBR,AEL-EL,CH4SYN,ATR,7008.0,
"ARE,RES-HYBR,AEL-EL,CH4SYN,CH4-LIQ",ARE,RES-HYBR,AEL-EL,CH4SYN,CH4-LIQ,7829.73145846776,PTX Atlas
"ARE,RES-HYBR,AEL-EL,CH4SYN,CH4-RGAS",ARE,RES-HYBR,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,RES-HYBR,AEL-EL,CH4SYN,CH4SYN",ARE,RES-HYBR,AEL-EL,CH4SYN,CH4SYN,7829.73145846776,PTX Atlas
"ARE,RES-HYBR,AEL-EL,DRI,AEL-EL",ARE,RES-HYBR,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARE,RES-HYBR,AEL-EL,DRI,DRI",ARE,RES-HYBR,AEL-EL,DRI,DRI,7008.0,öko
"ARE,RES-HYBR,AEL-EL,EFUELSYN,AEL-EL",ARE,RES-HYBR,AEL-EL,EFUELSYN,AEL-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,EFUELSYN,EFUELSYN",ARE,RES-HYBR,AEL-EL,EFUELSYN,EFUELSYN,7806.341399645147,PTX Atlas
"ARE,RES-HYBR,AEL-EL,LOHC-CON,AEL-EL",ARE,RES-HYBR,AEL-EL,LOHC-CON,AEL-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,LOHC-CON,LOHC-CON",ARE,RES-HYBR,AEL-EL,LOHC-CON,LOHC-CON,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,LOHC-CON,LOHC-REC",ARE,RES-HYBR,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,RES-HYBR,AEL-EL,NH3SYN,AEL-EL",ARE,RES-HYBR,AEL-EL,NH3SYN,AEL-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,AEL-EL,NH3SYN,NH3-REC",ARE,RES-HYBR,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,RES-HYBR,AEL-EL,NH3SYN,NH3SYN",ARE,RES-HYBR,AEL-EL,NH3SYN,NH3SYN,7587.6846386251,PTX Atlas
"ARE,RES-HYBR,PEM-EL,,H2-COMP",ARE,RES-HYBR,PEM-EL,,H2-COMP,7008.0,
"ARE,RES-HYBR,PEM-EL,,H2-LIQ",ARE,RES-HYBR,PEM-EL,,H2-LIQ,3116.3347803479924,öko
"ARE,RES-HYBR,PEM-EL,,H2-RGAS",ARE,RES-HYBR,PEM-EL,,H2-RGAS,7008.0,öko
"ARE,RES-HYBR,PEM-EL,,PEM-EL",ARE,RES-HYBR,PEM-EL,,PEM-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHREC",ARE,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHSYN",ARE,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHSYN,7816.667432640892,PTX Atlas
"ARE,RES-HYBR,PEM-EL,CH3OHSYN,PEM-EL",ARE,RES-HYBR,PEM-EL,CH3OHSYN,PEM-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,PEM-EL,CH4SYN,ATR",ARE,RES-HYBR,PEM-EL,CH4SYN,ATR,7008.0,
"ARE,RES-HYBR,PEM-EL,CH4SYN,CH4-LIQ",ARE,RES-HYBR,PEM-EL,CH4SYN,CH4-LIQ,7829.73145846776,PTX Atlas
"ARE,RES-HYBR,PEM-EL,CH4SYN,CH4-RGAS",ARE,RES-HYBR,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,RES-HYBR,PEM-EL,CH4SYN,CH4SYN",ARE,RES-HYBR,PEM-EL,CH4SYN,CH4SYN,7829.73145846776,PTX Atlas
"ARE,RES-HYBR,PEM-EL,CH4SYN,PEM-EL",ARE,RES-HYBR,PEM-EL,CH4SYN,PEM-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,PEM-EL,DRI,DRI",ARE,RES-HYBR,PEM-EL,DRI,DRI,7008.0,öko
"ARE,RES-HYBR,PEM-EL,DRI,PEM-EL",ARE,RES-HYBR,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARE,RES-HYBR,PEM-EL,EFUELSYN,EFUELSYN",ARE,RES-HYBR,PEM-EL,EFUELSYN,EFUELSYN,7806.341399645147,PTX Atlas
"ARE,RES-HYBR,PEM-EL,EFUELSYN,PEM-EL",ARE,RES-HYBR,PEM-EL,EFUELSYN,PEM-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,PEM-EL,LOHC-CON,LOHC-CON",ARE,RES-HYBR,PEM-EL,LOHC-CON,LOHC-CON,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,PEM-EL,LOHC-CON,LOHC-REC",ARE,RES-HYBR,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,RES-HYBR,PEM-EL,LOHC-CON,PEM-EL",ARE,RES-HYBR,PEM-EL,LOHC-CON,PEM-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,PEM-EL,NH3SYN,NH3-REC",ARE,RES-HYBR,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,RES-HYBR,PEM-EL,NH3SYN,NH3SYN",ARE,RES-HYBR,PEM-EL,NH3SYN,NH3SYN,7587.6846386251,PTX Atlas
"ARE,RES-HYBR,PEM-EL,NH3SYN,PEM-EL",ARE,RES-HYBR,PEM-EL,NH3SYN,PEM-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,,H2-COMP",ARE,RES-HYBR,SOEC-EL,,H2-COMP,7008.0,
"ARE,RES-HYBR,SOEC-EL,,H2-LIQ",ARE,RES-HYBR,SOEC-EL,,H2-LIQ,3116.3347803479924,öko
"ARE,RES-HYBR,SOEC-EL,,H2-RGAS",ARE,RES-HYBR,SOEC-EL,,H2-RGAS,7008.0,öko
"ARE,RES-HYBR,SOEC-EL,,SOEC-EL",ARE,RES-HYBR,SOEC-EL,,SOEC-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHREC",ARE,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHSYN",ARE,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHSYN,6813.909285775433,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,CH3OHSYN,SOEC-EL",ARE,RES-HYBR,SOEC-EL,CH3OHSYN,SOEC-EL,6813.909285775433,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,CH4SYN,ATR",ARE,RES-HYBR,SOEC-EL,CH4SYN,ATR,7008.0,
"ARE,RES-HYBR,SOEC-EL,CH4SYN,CH4-LIQ",ARE,RES-HYBR,SOEC-EL,CH4SYN,CH4-LIQ,6746.01576908395,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,CH4SYN,CH4-RGAS",ARE,RES-HYBR,SOEC-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,RES-HYBR,SOEC-EL,CH4SYN,CH4SYN",ARE,RES-HYBR,SOEC-EL,CH4SYN,CH4SYN,6746.01576908395,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,CH4SYN,SOEC-EL",ARE,RES-HYBR,SOEC-EL,CH4SYN,SOEC-EL,6746.01576908395,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,DRI,DRI",ARE,RES-HYBR,SOEC-EL,DRI,DRI,7008.0,öko
"ARE,RES-HYBR,SOEC-EL,DRI,SOEC-EL",ARE,RES-HYBR,SOEC-EL,DRI,SOEC-EL,7008.0,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,EFUELSYN,EFUELSYN",ARE,RES-HYBR,SOEC-EL,EFUELSYN,EFUELSYN,6965.699854949369,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,EFUELSYN,SOEC-EL",ARE,RES-HYBR,SOEC-EL,EFUELSYN,SOEC-EL,6965.699854949369,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-CON",ARE,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-CON,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-REC",ARE,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,RES-HYBR,SOEC-EL,LOHC-CON,SOEC-EL",ARE,RES-HYBR,SOEC-EL,LOHC-CON,SOEC-EL,3116.3347803479924,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,NH3SYN,NH3-REC",ARE,RES-HYBR,SOEC-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,RES-HYBR,SOEC-EL,NH3SYN,NH3SYN",ARE,RES-HYBR,SOEC-EL,NH3SYN,NH3SYN,4799.889150648625,PTX Atlas
"ARE,RES-HYBR,SOEC-EL,NH3SYN,SOEC-EL",ARE,RES-HYBR,SOEC-EL,NH3SYN,SOEC-EL,4799.889150648625,PTX Atlas
"ARE,WIND-OFF,AEL-EL,,AEL-EL",ARE,WIND-OFF,AEL-EL,,AEL-EL,3541.5673985049957,PTX Atlas
"ARE,WIND-OFF,AEL-EL,,H2-COMP",ARE,WIND-OFF,AEL-EL,,H2-COMP,7008.0,
"ARE,WIND-OFF,AEL-EL,,H2-LIQ",ARE,WIND-OFF,AEL-EL,,H2-LIQ,3770.152543610456,öko
"ARE,WIND-OFF,AEL-EL,,H2-RGAS",ARE,WIND-OFF,AEL-EL,,H2-RGAS,7008.0,öko
"ARE,WIND-OFF,AEL-EL,CH3OHSYN,AEL-EL",ARE,WIND-OFF,AEL-EL,CH3OHSYN,AEL-EL,3949.58470204362,PTX Atlas
"ARE,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHREC",ARE,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHSYN",ARE,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHSYN,4794.964749217458,PTX Atlas
"ARE,WIND-OFF,AEL-EL,CH4SYN,AEL-EL",ARE,WIND-OFF,AEL-EL,CH4SYN,AEL-EL,3857.959828799967,PTX Atlas
"ARE,WIND-OFF,AEL-EL,CH4SYN,ATR",ARE,WIND-OFF,AEL-EL,CH4SYN,ATR,7008.0,
"ARE,WIND-OFF,AEL-EL,CH4SYN,CH4-LIQ",ARE,WIND-OFF,AEL-EL,CH4SYN,CH4-LIQ,4778.199642866068,PTX Atlas
"ARE,WIND-OFF,AEL-EL,CH4SYN,CH4-RGAS",ARE,WIND-OFF,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,WIND-OFF,AEL-EL,CH4SYN,CH4SYN",ARE,WIND-OFF,AEL-EL,CH4SYN,CH4SYN,4778.199642866068,PTX Atlas
"ARE,WIND-OFF,AEL-EL,DRI,AEL-EL",ARE,WIND-OFF,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARE,WIND-OFF,AEL-EL,DRI,DRI",ARE,WIND-OFF,AEL-EL,DRI,DRI,7008.0,öko
"ARE,WIND-OFF,AEL-EL,EFUELSYN,AEL-EL",ARE,WIND-OFF,AEL-EL,EFUELSYN,AEL-EL,3920.7366951082663,PTX Atlas
"ARE,WIND-OFF,AEL-EL,EFUELSYN,EFUELSYN",ARE,WIND-OFF,AEL-EL,EFUELSYN,EFUELSYN,4755.775643513719,PTX Atlas
"ARE,WIND-OFF,AEL-EL,LOHC-CON,AEL-EL",ARE,WIND-OFF,AEL-EL,LOHC-CON,AEL-EL,3541.5673985049957,PTX Atlas
"ARE,WIND-OFF,AEL-EL,LOHC-CON,LOHC-CON",ARE,WIND-OFF,AEL-EL,LOHC-CON,LOHC-CON,3541.5673985049957,PTX Atlas
"ARE,WIND-OFF,AEL-EL,LOHC-CON,LOHC-REC",ARE,WIND-OFF,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,WIND-OFF,AEL-EL,NH3SYN,AEL-EL",ARE,WIND-OFF,AEL-EL,NH3SYN,AEL-EL,3794.9433607095825,PTX Atlas
"ARE,WIND-OFF,AEL-EL,NH3SYN,NH3-REC",ARE,WIND-OFF,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,WIND-OFF,AEL-EL,NH3SYN,NH3SYN",ARE,WIND-OFF,AEL-EL,NH3SYN,NH3SYN,4053.5491903906186,PTX Atlas
"ARE,WIND-OFF,PEM-EL,,H2-COMP",ARE,WIND-OFF,PEM-EL,,H2-COMP,7008.0,
