key,parameter_code,process_code,flow_code,source_region_code,target_country_code,value,unit,source
"CAPEX,PV-FIX,,ARG-BA,",CAPEX,PV-FIX,,ARG-BA,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-CAT,",CAPEX,PV-FIX,,ARG-CAT,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-CBA,",CAPEX,PV-FIX,,ARG-CBA,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-CHA,",CAPEX,PV-FIX,,ARG-CHA,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-CHU,",CAPEX,PV-FIX,,ARG-CHU,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-COR,",CAPEX,PV-FIX,,ARG-COR,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-CRB,",CAPEX,PV-FIX,,ARG-CRB,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-CRU,",CAPEX,PV-FIX,,ARG-CRU,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-EST,",CAPEX,PV-FIX,,ARG-EST,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-FOR,",CAPEX,PV-FIX,,ARG-FOR,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-FUE,",CAPEX,PV-FIX,,ARG-FUE,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-JUJ,",CAPEX,PV-FIX,,ARG-JUJ,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-LAR,",CAPEX,PV-FIX,,ARG-LAR,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-MEN,",CAPEX,PV-FIX,,ARG-MEN,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-MIS,",CAPEX,PV-FIX,,ARG-MIS,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-NEG,",CAPEX,PV-FIX,,ARG-NEG,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-NEU,",CAPEX,PV-FIX,,ARG-NEU,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-PAM,",CAPEX,PV-FIX,,ARG-PAM,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-RIO,",CAPEX,PV-FIX,,ARG-RIO,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-SAF,",CAPEX,PV-FIX,,ARG-SAF,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-SAJ,",CAPEX,PV-FIX,,ARG-SAJ,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-SAL,",CAPEX,PV-FIX,,ARG-SAL,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-SAT,",CAPEX,PV-FIX,,ARG-SAT,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,ARG-TUC,",CAPEX,PV-FIX,,ARG-TUC,,726.0142656898303,USD2021/kW,
"CAPEX,PV-FIX,,AUS,",CAPEX,PV-FIX,,AUS,,820.2632050586035,USD2021/kW,
"CAPEX,PV-FIX,,BRA,",CAPEX,PV-FIX,,BRA,,710.7708474881747,USD2021/kW,
"CAPEX,PV-FIX,,CHL,",CAPEX,PV-FIX,,CHL,,808.1800077036326,USD2021/kW,
"CAPEX,PV-FIX,,CHN,",CAPEX,PV-FIX,,CHN,,470.31522012425313,USD2021/kW,
"CAPEX,PV-FIX,,COL,",CAPEX,PV-FIX,,COL,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,CRI,",CAPEX,PV-FIX,,CRI,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,DNK,",CAPEX,PV-FIX,,DNK,,648.7747502899776,USD2021/kW,
"CAPEX,PV-FIX,,DZA,",CAPEX,PV-FIX,,DZA,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,EGY,",CAPEX,PV-FIX,,EGY,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ESP,",CAPEX,PV-FIX,,ESP,,705.1010394985344,USD2021/kW,
"CAPEX,PV-FIX,,IDN,",CAPEX,PV-FIX,,IDN,,867.3876747429902,USD2021/kW,
"CAPEX,PV-FIX,,IND,",CAPEX,PV-FIX,,IND,,486.11632435767666,USD2021/kW,
"CAPEX,PV-FIX,,JOR,",CAPEX,PV-FIX,,JOR,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,KAZ,",CAPEX,PV-FIX,,KAZ,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,KEN,",CAPEX,PV-FIX,,KEN,,748.3217069605458,USD2021/kW,
